Відділ,Номер угоди,Лінійка продукту,Стать,Вік,Ціна,Кількість,Податок 6%,Сезон,Загальна сума,Дата,Час,Тип оплати
B,392-99-3880,Алкоголь,Чоловік,24,2471.63,9,148.3,Весна,2867.09,2023-01-27,21:12:43,Оплата карткою
A,503-37-5827,М'ясні продукти,Чоловік,43,776.11,10,46.57,Весна,900.29,2023-03-29,18:06:07,Електронний гаманець
B,106-81-4889,Солодкі напої,Чоловік,28,311.34,9,18.68,Весна,361.15,2023-03-10,17:56:10,Оплата карткою
C,775-81-4252,Косметика,Жінка,31,187.22,2,11.23,Весна,217.17,2023-02-10,22:34:06,Оплата карткою
A,823-13-8415,Молочні продукти,Жінка,74,59.94,2,3.6,Весна,69.53,2023-02-08,14:59:36,Електронний гаманець
B,972-62-7523,Солодкі напої,Чоловік,36,251.12,9,15.07,Весна,291.3,2023-02-07,13:45:50,Оплата карткою
A,984-36-2653,М'ясні продукти,Жінка,42,82.1,2,4.93,Весна,95.24,2023-02-03,12:20:25,Електронний гаманець
A,466-73-5924,Молочні продукти,Чоловік,23,207.24,6,12.43,Весна,240.39,2023-01-17,13:09:06,Оплата карткою
A,660-94-5835,Солодощі,Жінка,39,134.85,7,8.09,Весна,156.43,2023-01-21,20:54:58,Готівкою
B,439-54-1637,Алкоголь,Жінка,49,171.25,4,10.28,Весна,198.66,2023-01-21,19:53:31,Готівкою
C,896-26-5688,Косметика,Чоловік,31,3039.66,6,182.38,Весна,3526.01,2023-01-28,15:00:32,Електронний гаманець
A,609-27-1631,Фрукти та овочі,Жінка,15,111.63,8,6.7,Весна,129.49,2023-03-06,12:44:01,Готівкою
B,402-85-5337,Алкоголь,Жінка,52,204.76,4,12.29,Весна,237.53,2023-01-17,19:24:55,Оплата карткою
A,851-91-5276,Фрукти та овочі,Жінка,13,92.39,5,5.54,Весна,107.17,2023-02-11,20:44:48,Електронний гаманець
C,475-96-3488,Інструменти,Жінка,30,1728.98,6,103.74,Весна,2005.62,2023-01-06,13:33:52,Електронний гаманець
B,501-75-2667,Солодкі напої,Чоловік,84,59.99,3,3.6,Весна,69.59,2023-02-26,08:05:37,Готівкою
